,Name,Price,OS,Screen_Res,Warranty
0,Vu Masterpiece 215 cm (85 inch) QLED Ultra HD (4K) Smart Android TV,"₹2,58,990",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
1,LG 164 cm (65 inch) OLED Ultra HD (4K) Smart WebOS TV,"₹2,49,999",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
2,SONY 189 cm (75 inch) Ultra HD (4K) LED Smart Android TV,"₹2,43,900",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
3,SONY 164 cm (65 inch) OLED Ultra HD (4K) Smart TV,"₹2,43,000",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
4,LG 164 cm (65 inch) OLED Ultra HD (4K) Smart WebOS TV,"₹2,42,999",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
5,SAMSUNG 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV,"₹2,41,900",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
6,SAMSUNG Series 7 189 cm (75 inch) Ultra HD (4K) LED Smart Tizen TV,"₹2,39,999",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
7,SAMSUNG Series 7 163 cm (65 inch) Ultra HD (4K) LED Smart Tizen TV,"₹2,34,900",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
8,SONY Bravia A8G 163.9 cm (65 inch) OLED Ultra HD (4K) Smart Android Based TV,"₹2,32,490",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
9,SAMSUNG Series 7 138 cm (55 inch) Ultra HD (4K) Curved LED Smart Tizen TV,"₹2,29,900",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
10,LG Nanocell 164 cm (65 inch) Ultra HD (4K) LED Smart WebOS TV,"₹2,29,491",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
11,SAMSUNG Q70RAK 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹2,24,999",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
12,SONY 164 cm (65 inch) OLED Ultra HD (4K) Smart Google TV,"₹2,19,900",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
13,SAMSUNG QN90BAKL 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹2,09,890",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
14,SAMSUNG 163 cm (65 inch) QLED Ultra HD (4K) Smart TV,"₹2,08,999",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
15,SAMSUNG Series 7 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV,"₹2,04,900",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
16,SAMSUNG Q60RAK 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹1,98,599",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
17,CORNEA Bezelless 218 cm (86 inch) Ultra HD (4K) LED Smart Android TV,"₹1,93,999",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
18,SAMSUNG QN95BAKL 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹1,92,599",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
19,LG 189 cm (75 inch) Ultra HD (4K) LED Smart WebOS TV,"₹1,89,999",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
20,SAMSUNG 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹1,84,990",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
21,SAMSUNG QN85BAKL 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹1,84,990",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
22,SAMSUNG Q Series 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹1,79,999",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
23,SONY Bravia 163.9 cm (65 inch) Ultra HD (4K) LED Smart Android TV,"₹1,79,999",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Vu Domestic Warranty
