,Name,Rating,Price,OS,Screen_Res,Warranty
0,SAMSUNG Series 8 189 cm (75 inch) Ultra HD (4K) LED Smart Tizen TV,4.2,"₹5,99,900",Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Comprehensive and 1 Year Additional on Panel from Samsung
1,SONY 215 cm (85 inch) Ultra HD (4K) LCD Smart Android TV,2.3,"₹5,22,490",Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Manufacturer Warranty
2,SAMSUNG Q Series 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV,4.3,"₹4,70,900",Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Warranty on Product and 1 Year Additional Warranty on Panel from Samsung
3,SAMSUNG Q Series 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV,4.7,"₹4,40,900",Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Warranty on Product and 1 Year Additional Warranty on Panel from Samsung
4,Hisense U80G Series 189 cm (75 inch) QLED Ultra HD (8K) Smart Android TV,5,"₹3,99,990",Operating System: Android,Ultra HD (8K) 7680 x 4320 Pixels,2 Years Comprehensive Warranty
5,LG 164 cm (65 inch) OLED Ultra HD (4K) Smart WebOS TV,4.2,"₹3,79,990",Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on Panel/Module from the date of purchase.
6,SAMSUNG QN700BK 163 cm (65 inch) QLED Ultra HD (8K) Smart Tizen TV,3,"₹3,49,990",Operating System: Tizen,Ultra HD (8K) 7680 x 4320 Pixels,1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel
7,SAMSUNG Q Series 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,4.8,"₹3,44,900",Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Warranty on Product and 1 Year Additional Warranty on Panel from Samsung
8,SAMSUNG Q Series 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV,3.9,"₹3,41,900",Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Comprehensive and 1 Year Additional on Panel from Samsung
9,SAMSUNG Q60BAK 189 cm (75 inch) QLED Ultra HD (4K) Smart Tizen TV,4.3,"₹3,39,990",Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel
